GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041600112,1610612739,Cavaliers,CLE,Cleveland,240:00,119.2,119.4,112.0,112.1,7.3,7.3,0.452,1.0,15.3,0.257,0.733,0.525,19.364,19.4,0.638,0.679,1.0,0.2,98.62,98.5,82.08,98,0.528
0041600112,1610612754,Pacers,IND,Indiana,240:00,112.0,112.1,119.2,119.4,-7.3,-7.3,0.535,1.64,17.5,0.267,0.743,0.475,14.124,14.1,0.56,0.59,1.0,0.198,98.62,98.5,82.08,99,0.472
0041600113,1610612739,Cavaliers,CLE,Cleveland,240:00,118.8,126.6,113.5,121.3,5.3,5.3,0.59,2.88,17.5,0.278,0.583,0.439,7.984,8.5,0.569,0.594,1.0,0.198,100.32,94.0,78.33,94,0.512
0041600113,1610612754,Pacers,IND,Indiana,240:00,113.5,121.3,118.8,126.6,-5.3,-5.3,0.658,2.27,17.6,0.417,0.722,0.561,10.952,11.7,0.484,0.536,1.0,0.196,100.32,94.0,78.33,94,0.488
0041600114,1610612739,Cavaliers,CLE,Cleveland,240:00,106.1,109.3,100.5,106.3,5.6,3.0,0.297,0.85,8.7,0.345,0.712,0.523,13.016,13.4,0.461,0.52,1.0,0.197,100.68,96.5,80.42,97,0.515
0041600114,1610612754,Pacers,IND,Indiana,240:00,100.5,106.3,106.1,109.3,-5.6,-3.0,0.512,1.4,16.0,0.288,0.655,0.477,14.781,15.6,0.523,0.534,1.0,0.197,100.68,96.5,80.42,96,0.485
0041600121,1610612749,Bucks,MIL,Milwaukee,240:00,110.7,111.5,89.7,94.3,21.0,17.2,0.579,4.4,18.5,0.2,0.717,0.466,5.708,5.7,0.5,0.529,1.0,0.199,90.06,87.5,72.92,87,0.604
0041600121,1610612761,Raptors,TOR,Toronto,240:00,89.7,94.3,110.7,111.5,-21.0,-17.2,0.556,1.36,13.0,0.283,0.8,0.534,11.889,12.5,0.393,0.464,1.0,0.197,90.06,87.5,72.92,88,0.396
0041600122,1610612749,Bucks,MIL,Milwaukee,240:00,104.9,108.7,111.6,116.5,-6.7,-7.8,0.556,1.67,15.7,0.308,0.762,0.511,12.584,13.0,0.477,0.524,1.0,0.196,95.18,91.5,76.25,92,0.466
0041600122,1610612761,Raptors,TOR,Toronto,240:00,111.6,116.5,104.9,108.7,6.7,7.8,0.649,1.85,19.2,0.238,0.692,0.489,13.684,14.3,0.571,0.602,1.0,0.196,95.18,91.5,76.25,91,0.534
0041600123,1610612749,Bucks,MIL,Milwaukee,240:00,112.6,115.6,84.4,85.6,28.2,30.0,0.744,2.23,23.3,,0.735,,14.075,14.4,0.608,0.631,1.0,0.201,91.78,90.0,75.0,90,0.707
0041600123,1610612761,Raptors,TOR,Toronto,240:00,84.4,85.6,112.6,115.6,-28.2,-30.0,0.458,0.69,9.9,0.265,,,17.544,17.8,0.38,0.457,1.0,0.2,91.78,90.0,75.0,90,0.293
0041600124,1610612749,Bucks,MIL,Milwaukee,240:00,78.4,80.0,90.2,89.7,-11.8,-9.7,0.533,0.76,12.7,0.278,0.83,0.535,21.667,22.1,0.401,0.427,1.0,0.198,96.7,96.0,80.0,95,0.372
0041600124,1610612761,Raptors,TOR,Toronto,240:00,90.2,89.7,78.4,80.0,11.8,9.7,0.485,1.23,13.7,0.17,0.722,0.465,13.474,13.4,0.444,0.497,1.0,0.199,96.7,96.0,80.0,97,0.628
0041600125,1610612749,Bucks,MIL,Milwaukee,240:00,100.6,101.1,123.6,128.3,-23.0,-27.2,0.647,1.47,19.1,0.1,,,16.227,16.3,0.582,0.593,1.0,0.201,93.94,92.0,76.67,92,0.362
0041600125,1610612761,Raptors,TOR,Toronto,240:00,123.6,128.3,100.6,101.1,23.0,27.2,0.683,1.56,21.8,,0.9,,18.86,19.6,0.662,0.716,1.0,0.195,93.94,92.0,76.67,92,0.638
0041600126,1610612749,Bucks,MIL,Milwaukee,240:00,98.5,104.7,109.4,108.2,-10.8,-3.5,0.563,1.29,15.1,0.34,0.683,0.495,15.5,16.5,0.473,0.51,1.0,0.199,87.22,85.0,70.83,85,0.466
0041600126,1610612761,Raptors,TOR,Toronto,240:00,109.4,108.2,98.5,104.7,10.8,3.5,0.438,0.93,12.8,0.317,0.66,0.505,17.832,17.6,0.521,0.574,1.0,0.2,87.22,85.0,70.83,85,0.534
0041600131,1610612737,Hawks,ATL,Atlanta,240:00,103.7,107.0,109.1,114.0,-5.4,-7.0,0.529,0.86,13.4,,0.643,,20.357,21.0,0.481,0.562,1.0,0.196,103.82,100.0,83.33,100,0.451
0041600131,1610612764,Wizards,WAS,Washington,240:00,109.1,114.0,103.7,107.0,5.4,7.0,0.622,2.33,19.0,0.357,,,11.485,12.0,0.49,0.53,1.0,0.198,103.82,100.0,83.33,100,0.549
0041600132,1610612737,Hawks,ATL,Atlanta,240:00,97.4,102.0,108.4,109.0,-11.1,-7.0,0.531,0.94,13.0,0.28,0.706,0.495,17.354,18.2,0.43,0.528,1.0,0.197,102.12,99.5,82.92,99,0.434
0041600132,1610612764,Wizards,WAS,Washington,240:00,108.4,109.0,97.4,102.0,11.1,7.0,0.564,2.0,16.5,0.294,0.72,0.505,10.943,11.0,0.494,0.542,1.0,0.201,102.12,99.5,82.92,100,0.566
0041600133,1610612737,Hawks,ATL,Atlanta,240:00,111.5,111.5,90.9,93.3,20.5,18.2,0.591,2.17,18.4,,0.811,,11.53,11.5,0.545,0.563,1.0,0.196,105.94,104.5,87.08,104,0.635
0041600133,1610612764,Wizards,WAS,Washington,240:00,90.9,93.3,111.5,111.5,-20.5,-18.2,0.432,1.0,12.3,0.189,,,14.842,15.2,0.455,0.501,1.0,0.195,105.94,104.5,87.08,105,0.365
0041600134,1610612737,Hawks,ATL,Atlanta,240:00,109.9,112.1,99.9,102.0,10.0,10.1,0.6,2.0,17.5,0.283,0.769,0.524,11.881,12.1,0.511,0.55,1.0,0.198,101.06,99.0,82.5,99,0.559
0041600134,1610612764,Wizards,WAS,Washington,240:00,99.9,102.0,109.9,112.1,-10.0,-10.1,0.528,1.27,14.7,0.231,0.717,0.476,14.834,15.2,0.488,0.531,1.0,0.196,101.06,99.0,82.5,99,0.441
0041600135,1610612737,Hawks,ATL,Atlanta,240:00,96.8,106.5,112.1,109.6,-15.3,-3.1,0.605,2.09,16.9,0.386,0.761,0.553,10.759,11.8,0.457,0.484,1.0,0.201,97.06,93.5,77.92,93,0.416
0041600135,1610612764,Wizards,WAS,Washington,240:00,112.1,109.6,96.8,106.5,15.3,3.1,0.568,3.0,17.2,0.239,0.614,0.447,7.619,7.4,0.494,0.549,1.0,0.2,97.06,93.5,77.92,94,0.584
0041600136,1610612737,Hawks,ATL,Atlanta,240:00,101.7,104.2,117.3,119.8,-15.7,-15.6,0.703,1.18,19.4,0.357,0.692,0.519,22.597,23.2,0.532,0.573,1.0,0.201,97.68,95.5,79.58,95,0.422
0041600136,1610612764,Wizards,WAS,Washington,240:00,117.3,119.8,101.7,104.2,15.7,15.6,0.5,1.24,16.5,0.308,0.643,0.481,17.347,17.7,0.603,0.646,1.0,0.198,97.68,95.5,79.58,96,0.578
0041600141,1610612744,Warriors,GSW,Golden State,240:00,120.6,118.6,102.2,109.0,18.4,9.6,0.605,1.63,19.2,0.3,0.696,0.531,15.949,15.7,0.599,0.648,1.0,0.201,103.5,101.0,84.17,102,0.63
